
 Association for Target, Query With Target ID: ENSG00000197386 

Target ID: ENSG00000197386 	 Disease ID: EFO_0009386 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: Orphanet_778 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: MONDO_0100148 	 Association_score Overall: 1.0
Target ID: ENSG00000197386 	 Disease ID: EFO_0004784 	 Association_score Overall: 0.9902010785452091
Target ID: ENSG00000197386 	 Disease ID: EFO_0004503 	 Association_score Overall: 0.9335956098139286
Target ID: ENSG00000197386 	 Disease ID: EFO_0004586 	 Association_score Overall: 0.9014483675857385
Target ID: ENSG00000197386 	 Disease ID: EFO_0004308 	 Association_score Overall: 0.878596225546466
Target ID: ENSG00000197386 	 Disease ID: GO_0008150 	 Association_score Overall: 0.8369462688930152
Target ID: ENSG00000197386 	 Disease ID: EFO_0004302 	 Association_score Overall: 0.8076455198452084
Target ID: ENSG00000197386 	 Disease ID: EFO_0004324 	 Association_score Overall: 0.7914831090263676
Target ID: ENSG00000197386 	 Disease ID: EFO_0005036 	 Association_score Overall: 0.7830917222632302
Target ID: ENSG00000197386 	 Disease ID: EFO_0007861 	 Association_score Overall: 0.736357744369242
Target ID: ENSG00000197386 	 Disease ID: EFO_0004343 	 Association_score Overall: 0.736357744369242
Target ID: ENSG00000197386 	 Disease ID: EFO_0007988 	 Association_score Overall: 0.7064656913280487
Target ID: ENSG00000197386 	 Disease ID: EFO_0007987 	 Association_score Overall: 0.7064656913280487
Target ID: ENSG00000197386 	 Disease ID: EFO_0004833 	 Association_score Overall: 0.7064656913280487
Target ID: ENSG00000197386 	 Disease ID: EFO_0006846 	 Association_score Overall: 0.699053980410099
Target ID: ENSG00000197386 	 Disease ID: EFO_0004584 	 Association_score Overall: 0.699053980410099
Target ID: ENSG00000197386 	 Disease ID: EFO_0004323 	 Association_score Overall: 0.6943603381514549
Target ID: ENSG00000197386 	 Disease ID: EFO_0003925 	 Association_score Overall: 0.6943603381514549
Target ID: ENSG00000197386 	 Disease ID: EFO_0007800 	 Association_score Overall: 0.6720077377557755
Target ID: ENSG00000197386 	 Disease ID: EFO_0005106 	 Association_score Overall: 0.6720077377557755
Target ID: ENSG00000197386 	 Disease ID: EFO_0009589 	 Association_score Overall: 0.6603167222605811
Target ID: ENSG00000197386 	 Disease ID: EFO_0007803 	 Association_score Overall: 0.6603167222605811
Target ID: ENSG00000197386 	 Disease ID: EFO_0006848 	 Association_score Overall: 0.6603167222605811
Target ID: ENSG00000197386 	 Disease ID: EFO_0004875 	 Association_score Overall: 0.6165949106216431
Target ID: ENSG00000197386 	 Disease ID: EFO_0004995 	 Association_score Overall: 0.5939322022928132
Target ID: ENSG00000197386 	 Disease ID: EFO_0000651 	 Association_score Overall: 0.5846498844881808
Target ID: ENSG00000197386 	 Disease ID: HP_0000118 	 Association_score Overall: 0.5846496987857781
Target ID: ENSG00000197386 	 Disease ID: HP_0000707 	 Association_score Overall: 0.584532247964537
Target ID: ENSG00000197386 	 Disease ID: HP_0012638 	 Association_score Overall: 0.5681922622650619
Target ID: ENSG00000197386 	 Disease ID: EFO_0004309 	 Association_score Overall: 0.5593169331550598
Target ID: ENSG00000197386 	 Disease ID: EFO_0003892 	 Association_score Overall: 0.556700229541295
Target ID: ENSG00000197386 	 Disease ID: EFO_0004742 	 Association_score Overall: 0.5440326289176941
Target ID: ENSG00000197386 	 Disease ID: EFO_0004247 	 Association_score Overall: 0.5416728075648989
Target ID: ENSG00000197386 	 Disease ID: MONDO_0002050 	 Association_score Overall: 0.5416393824791621
Target ID: ENSG00000197386 	 Disease ID: EFO_0003761 	 Association_score Overall: 0.5416393824791621
Target ID: ENSG00000197386 	 Disease ID: EFO_0005208 	 Association_score Overall: 0.5411326289176941
Target ID: ENSG00000197386 	 Disease ID: EFO_0007990 	 Association_score Overall: 0.5404592752456665
Target ID: ENSG00000197386 	 Disease ID: EFO_0006841 	 Association_score Overall: 0.5215096697211266
Target ID: ENSG00000197386 	 Disease ID: EFO_0004314 	 Association_score Overall: 0.5215096697211266
Target ID: ENSG00000197386 	 Disease ID: EFO_0007788 	 Association_score Overall: 0.5152318477630615
Target ID: ENSG00000197386 	 Disease ID: GO_0007610 	 Association_score Overall: 0.5088882881941067
Target ID: ENSG00000197386 	 Disease ID: HP_0100543 	 Association_score Overall: 0.5054091085102794
Target ID: ENSG00000197386 	 Disease ID: HP_0011446 	 Association_score Overall: 0.5054091085102794
Target ID: ENSG00000197386 	 Disease ID: HP_0012759 	 Association_score Overall: 0.5021
Target ID: ENSG00000197386 	 Disease ID: HP_0001249 	 Association_score Overall: 0.5
Target ID: ENSG00000197386 	 Disease ID: EFO_0007946 	 Association_score Overall: 0.4975951313972473
Target ID: ENSG00000197386 	 Disease ID: EFO_0004765 	 Association_score Overall: 0.49415549635887146
Target ID: ENSG00000197386 	 Disease ID: EFO_0004764 	 Association_score Overall: 0.49415549635887146
Target ID: ENSG00000197386 	 Disease ID: EFO_0007906 	 Association_score Overall: 0.4914294183254242
Target ID: ENSG00000197386 	 Disease ID: EFO_0007821 	 Association_score Overall: 0.4914294183254242
Target ID: ENSG00000197386 	 Disease ID: EFO_0008579 	 Association_score Overall: 0.4880668520927429
Target ID: ENSG00000197386 	 Disease ID: EFO_0005409 	 Association_score Overall: 0.4421019107103348
Target ID: ENSG00000197386 	 Disease ID: EFO_0007878 	 Association_score Overall: 0.4231406319886446
Target ID: ENSG00000197386 	 Disease ID: EFO_0005407 	 Association_score Overall: 0.3747617101192474
Target ID: ENSG00000197386 	 Disease ID: EFO_0000692 	 Association_score Overall: 0.37356171011924744
Target ID: ENSG00000197386 	 Disease ID: EFO_0009101 	 Association_score Overall: 0.3457445502281189
Target ID: ENSG00000197386 	 Disease ID: EFO_0007862 	 Association_score Overall: 0.3457445502281189
Target ID: ENSG00000197386 	 Disease ID: MONDO_0024297 	 Association_score Overall: 0.3408527041695875
Target ID: ENSG00000197386 	 Disease ID: EFO_0000589 	 Association_score Overall: 0.3408527041695875
Target ID: ENSG00000197386 	 Disease ID: MONDO_0019755 	 Association_score Overall: 0.33763766380000293
Target ID: ENSG00000197386 	 Disease ID: MONDO_0000839 	 Association_score Overall: 0.33763766380000293
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183530 	 Association_score Overall: 0.3376328463551036
Target ID: ENSG00000197386 	 Disease ID: MONDO_0002320 	 Association_score Overall: 0.3375631885536398
Target ID: ENSG00000197386 	 Disease ID: OTAR_0000006 	 Association_score Overall: 0.33621587601644204
Target ID: ENSG00000197386 	 Disease ID: MONDO_0020022 	 Association_score Overall: 0.3359306532511627
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183506 	 Association_score Overall: 0.3356627476074941
Target ID: ENSG00000197386 	 Disease ID: EFO_0008111 	 Association_score Overall: 0.33551932333244217
Target ID: ENSG00000197386 	 Disease ID: Orphanet_68367 	 Association_score Overall: 0.3354647718765323
Target ID: ENSG00000197386 	 Disease ID: EFO_0009676 	 Association_score Overall: 0.33526642756214076
Target ID: ENSG00000197386 	 Disease ID: Orphanet_68385 	 Association_score Overall: 0.3337375181816429
Target ID: ENSG00000197386 	 Disease ID: Orphanet_139009 	 Association_score Overall: 0.33243601117879285
Target ID: ENSG00000197386 	 Disease ID: Orphanet_269550 	 Association_score Overall: 0.3321728834707401
Target ID: ENSG00000197386 	 Disease ID: EFO_0009387 	 Association_score Overall: 0.332029147408042
Target ID: ENSG00000197386 	 Disease ID: EFO_0002970 	 Association_score Overall: 0.33164064466723014
Target ID: ENSG00000197386 	 Disease ID: MONDO_0016054 	 Association_score Overall: 0.33129939700280975
Target ID: ENSG00000197386 	 Disease ID: EFO_1001986 	 Association_score Overall: 0.3310920008643391
Target ID: ENSG00000197386 	 Disease ID: MONDO_0023603 	 Association_score Overall: 0.33093627176795537
Target ID: ENSG00000197386 	 Disease ID: EFO_0004149 	 Association_score Overall: 0.33001674670182346
Target ID: ENSG00000197386 	 Disease ID: EFO_0003100 	 Association_score Overall: 0.3298315980640011
Target ID: ENSG00000197386 	 Disease ID: MONDO_0004884 	 Association_score Overall: 0.3296341446742446
Target ID: ENSG00000197386 	 Disease ID: MONDO_0000426 	 Association_score Overall: 0.3292799538716598
Target ID: ENSG00000197386 	 Disease ID: Orphanet_68356 	 Association_score Overall: 0.32926270434275373
Target ID: ENSG00000197386 	 Disease ID: Orphanet_79062 	 Association_score Overall: 0.3292005489015668
Target ID: ENSG00000197386 	 Disease ID: Orphanet_166478 	 Association_score Overall: 0.328614145086034
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98692 	 Association_score Overall: 0.3284890586303764
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183518 	 Association_score Overall: 0.3284076726327126
Target ID: ENSG00000197386 	 Disease ID: MONDO_0002427 	 Association_score Overall: 0.3279993644170557
Target ID: ENSG00000197386 	 Disease ID: MONDO_0000437 	 Association_score Overall: 0.3279993644170557
Target ID: ENSG00000197386 	 Disease ID: EFO_0009671 	 Association_score Overall: 0.32793682487963816
Target ID: ENSG00000197386 	 Disease ID: Orphanet_289899 	 Association_score Overall: 0.3272570971023543
Target ID: ENSG00000197386 	 Disease ID: MONDO_0045022 	 Association_score Overall: 0.3272570971023543
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98497 	 Association_score Overall: 0.3271815394017865
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98693 	 Association_score Overall: 0.32710229960041
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98538 	 Association_score Overall: 0.32710229960041
Target ID: ENSG00000197386 	 Disease ID: MONDO_0022687 	 Association_score Overall: 0.32710229960041
Target ID: ENSG00000197386 	 Disease ID: Orphanet_166463 	 Association_score Overall: 0.32680543887180075
Target ID: ENSG00000197386 	 Disease ID: EFO_0009533 	 Association_score Overall: 0.32679855161779425
Target ID: ENSG00000197386 	 Disease ID: EFO_0002461 	 Association_score Overall: 0.3267480326931818
Target ID: ENSG00000197386 	 Disease ID: Orphanet_79158 	 Association_score Overall: 0.32643152121185426
Target ID: ENSG00000197386 	 Disease ID: EFO_0004260 	 Association_score Overall: 0.3261629308975508
Target ID: ENSG00000197386 	 Disease ID: Orphanet_182083 	 Association_score Overall: 0.32614706837210955
Target ID: ENSG00000197386 	 Disease ID: Orphanet_79200 	 Association_score Overall: 0.3260402695226814
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183497 	 Association_score Overall: 0.3258951513263879
Target ID: ENSG00000197386 	 Disease ID: Orphanet_68380 	 Association_score Overall: 0.32571726737340084
Target ID: ENSG00000197386 	 Disease ID: MONDO_0004069 	 Association_score Overall: 0.32571726737340084
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98260 	 Association_score Overall: 0.325543709567978
Target ID: ENSG00000197386 	 Disease ID: EFO_1001902 	 Association_score Overall: 0.32552533237119996
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98259 	 Association_score Overall: 0.32520593824154376
Target ID: ENSG00000197386 	 Disease ID: MONDO_0003939 	 Association_score Overall: 0.325137982742291
Target ID: ENSG00000197386 	 Disease ID: EFO_0003782 	 Association_score Overall: 0.3249375592994996
Target ID: ENSG00000197386 	 Disease ID: Orphanet_223713 	 Association_score Overall: 0.3245275693681049
Target ID: ENSG00000197386 	 Disease ID: Orphanet_166475 	 Association_score Overall: 0.32444990360888243
Target ID: ENSG00000197386 	 Disease ID: EFO_0001379 	 Association_score Overall: 0.32430374892177544
Target ID: ENSG00000197386 	 Disease ID: MONDO_0021095 	 Association_score Overall: 0.3242753560401469
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183533 	 Association_score Overall: 0.32418799207842874
Target ID: ENSG00000197386 	 Disease ID: MONDO_0019042 	 Association_score Overall: 0.32418799207842874
Target ID: ENSG00000197386 	 Disease ID: Orphanet_309 	 Association_score Overall: 0.3241848637928527
Target ID: ENSG00000197386 	 Disease ID: EFO_0004263 	 Association_score Overall: 0.3241848637928527
Target ID: ENSG00000197386 	 Disease ID: EFO_0004145 	 Association_score Overall: 0.3237140617117076
Target ID: ENSG00000197386 	 Disease ID: Orphanet_269564 	 Association_score Overall: 0.32335327043842205
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98257 	 Association_score Overall: 0.32327368734836187
Target ID: ENSG00000197386 	 Disease ID: OTAR_0000014 	 Association_score Overall: 0.32327368734836187
Target ID: ENSG00000197386 	 Disease ID: EFO_0010238 	 Association_score Overall: 0.32327368734836187
Target ID: ENSG00000197386 	 Disease ID: MONDO_0000411 	 Association_score Overall: 0.32302042617883814
Target ID: ENSG00000197386 	 Disease ID: EFO_0003839 	 Association_score Overall: 0.32279288434070463
Target ID: ENSG00000197386 	 Disease ID: MONDO_0015656 	 Association_score Overall: 0.3224097224469834
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98505 	 Association_score Overall: 0.3217819430941484
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98539 	 Association_score Overall: 0.32154801965426566
Target ID: ENSG00000197386 	 Disease ID: Orphanet_1172 	 Association_score Overall: 0.32154801965426566
Target ID: ENSG00000197386 	 Disease ID: EFO_0010285 	 Association_score Overall: 0.3215262217383302
Target ID: ENSG00000197386 	 Disease ID: Orphanet_182079 	 Association_score Overall: 0.32140407268344995
Target ID: ENSG00000197386 	 Disease ID: MONDO_0017641 	 Association_score Overall: 0.3213825692627314
Target ID: ENSG00000197386 	 Disease ID: Orphanet_307058 	 Association_score Overall: 0.3213475191084104
Target ID: ENSG00000197386 	 Disease ID: Orphanet_269553 	 Association_score Overall: 0.3213014745264865
Target ID: ENSG00000197386 	 Disease ID: MONDO_0003182 	 Association_score Overall: 0.3211020496873119
Target ID: ENSG00000197386 	 Disease ID: EFO_0009488 	 Association_score Overall: 0.3211020496873119
Target ID: ENSG00000197386 	 Disease ID: EFO_0009690 	 Association_score Overall: 0.3209246491723334
Target ID: ENSG00000197386 	 Disease ID: EFO_0000701 	 Association_score Overall: 0.32089497537553435
Target ID: ENSG00000197386 	 Disease ID: Orphanet_68346 	 Association_score Overall: 0.3208744506841763
Target ID: ENSG00000197386 	 Disease ID: MONDO_0024255 	 Association_score Overall: 0.3208744506841763
Target ID: ENSG00000197386 	 Disease ID: Orphanet_1934 	 Association_score Overall: 0.320021346685069
Target ID: ENSG00000197386 	 Disease ID: DOID_0050890 	 Association_score Overall: 0.31982848031362915
Target ID: ENSG00000197386 	 Disease ID: Orphanet_2443 	 Association_score Overall: 0.31960800783457427
Target ID: ENSG00000197386 	 Disease ID: Orphanet_96210 	 Association_score Overall: 0.3195921553558212
Target ID: ENSG00000197386 	 Disease ID: Orphanet_90642 	 Association_score Overall: 0.3195921553558212
Target ID: ENSG00000197386 	 Disease ID: MONDO_0037940 	 Association_score Overall: 0.3195921553558212
Target ID: ENSG00000197386 	 Disease ID: MONDO_0024417 	 Association_score Overall: 0.3195921553558212
Target ID: ENSG00000197386 	 Disease ID: MONDO_0021945 	 Association_score Overall: 0.3195921553558212
Target ID: ENSG00000197386 	 Disease ID: EFO_1001455 	 Association_score Overall: 0.3195921553558212
Target ID: ENSG00000197386 	 Disease ID: EFO_0004238 	 Association_score Overall: 0.3195921553558212
Target ID: ENSG00000197386 	 Disease ID: EFO_0009556 	 Association_score Overall: 0.3195200798982403
Target ID: ENSG00000197386 	 Disease ID: Orphanet_307064 	 Association_score Overall: 0.31939031880898144
Target ID: ENSG00000197386 	 Disease ID: Orphanet_307052 	 Association_score Overall: 0.3193380337723308
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98657 	 Association_score Overall: 0.3191276065629269
Target ID: ENSG00000197386 	 Disease ID: Orphanet_71862 	 Association_score Overall: 0.3191276065629269
Target ID: ENSG00000197386 	 Disease ID: MONDO_0004580 	 Association_score Overall: 0.3191276065629269
Target ID: ENSG00000197386 	 Disease ID: EFO_0008624 	 Association_score Overall: 0.3191276065629269
Target ID: ENSG00000197386 	 Disease ID: Orphanet_101685 	 Association_score Overall: 0.31910493409603446
Target ID: ENSG00000197386 	 Disease ID: MONDO_0000509 	 Association_score Overall: 0.31910493409603446
Target ID: ENSG00000197386 	 Disease ID: Orphanet_156638 	 Association_score Overall: 0.31895552787786086
Target ID: ENSG00000197386 	 Disease ID: MONDO_0000414 	 Association_score Overall: 0.31865083497818414
Target ID: ENSG00000197386 	 Disease ID: Orphanet_307055 	 Association_score Overall: 0.3185379859406981
Target ID: ENSG00000197386 	 Disease ID: MONDO_0017635 	 Association_score Overall: 0.3185379859406981
Target ID: ENSG00000197386 	 Disease ID: EFO_0002508 	 Association_score Overall: 0.31843551012867466
Target ID: ENSG00000197386 	 Disease ID: Orphanet_102283 	 Association_score Overall: 0.31802112002877675
Target ID: ENSG00000197386 	 Disease ID: MONDO_0015572 	 Association_score Overall: 0.31790684519760665
Target ID: ENSG00000197386 	 Disease ID: Orphanet_276061 	 Association_score Overall: 0.31772724092025706
Target ID: ENSG00000197386 	 Disease ID: Orphanet_404584 	 Association_score Overall: 0.3172160781524222
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183524 	 Association_score Overall: 0.3172160781524222
Target ID: ENSG00000197386 	 Disease ID: EFO_0005541 	 Association_score Overall: 0.3172160781524222
Target ID: ENSG00000197386 	 Disease ID: Orphanet_269557 	 Association_score Overall: 0.3171385050351983
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98095 	 Association_score Overall: 0.31666333312198397
Target ID: ENSG00000197386 	 Disease ID: Orphanet_135 	 Association_score Overall: 0.3166562168017049
Target ID: ENSG00000197386 	 Disease ID: MONDO_0037871 	 Association_score Overall: 0.3166481915216377
Target ID: ENSG00000197386 	 Disease ID: MONDO_0004736 	 Association_score Overall: 0.3166481915216377
Target ID: ENSG00000197386 	 Disease ID: Orphanet_163209 	 Association_score Overall: 0.3166454019960068
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98258 	 Association_score Overall: 0.31648396003402285
Target ID: ENSG00000197386 	 Disease ID: Orphanet_206634 	 Association_score Overall: 0.31645258354405736
Target ID: ENSG00000197386 	 Disease ID: EFO_0008525 	 Association_score Overall: 0.316395724079618
Target ID: ENSG00000197386 	 Disease ID: Orphanet_309005 	 Association_score Overall: 0.31539775819637306
Target ID: ENSG00000197386 	 Disease ID: EFO_0003900 	 Association_score Overall: 0.31455270936004026
Target ID: ENSG00000197386 	 Disease ID: MONDO_0015914 	 Association_score Overall: 0.3142064387952916
Target ID: ENSG00000197386 	 Disease ID: Orphanet_79214 	 Association_score Overall: 0.3138532294698886
Target ID: ENSG00000197386 	 Disease ID: Orphanet_282 	 Association_score Overall: 0.31359552487087433
Target ID: ENSG00000197386 	 Disease ID: Orphanet_269560 	 Association_score Overall: 0.3134479604383101
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98710 	 Association_score Overall: 0.31293958286358037
Target ID: ENSG00000197386 	 Disease ID: Orphanet_307067 	 Association_score Overall: 0.3129030653781752
Target ID: ENSG00000197386 	 Disease ID: Orphanet_306756 	 Association_score Overall: 0.3129030653781752
Target ID: ENSG00000197386 	 Disease ID: MONDO_0017652 	 Association_score Overall: 0.3129030653781752
Target ID: ENSG00000197386 	 Disease ID: MONDO_0100030 	 Association_score Overall: 0.3126580398679711
Target ID: ENSG00000197386 	 Disease ID: Orphanet_99 	 Association_score Overall: 0.31173486541544104
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98540 	 Association_score Overall: 0.31173486541544104
Target ID: ENSG00000197386 	 Disease ID: Orphanet_404577 	 Association_score Overall: 0.31170818286930424
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183536 	 Association_score Overall: 0.31170818286930424
Target ID: ENSG00000197386 	 Disease ID: MONDO_0019054 	 Association_score Overall: 0.31170818286930424
Target ID: ENSG00000197386 	 Disease ID: MONDO_0100172 	 Association_score Overall: 0.3116064387952916
Target ID: ENSG00000197386 	 Disease ID: Orphanet_140874 	 Association_score Overall: 0.31124896778775174
Target ID: ENSG00000197386 	 Disease ID: MONDO_0100033 	 Association_score Overall: 0.31119191804103186
Target ID: ENSG00000197386 	 Disease ID: EFO_0004337 	 Association_score Overall: 0.31106171011924744
Target ID: ENSG00000197386 	 Disease ID: Orphanet_307 	 Association_score Overall: 0.31066988450158145
Target ID: ENSG00000197386 	 Disease ID: Orphanet_306759 	 Association_score Overall: 0.31066988450158145
Target ID: ENSG00000197386 	 Disease ID: MONDO_0000415 	 Association_score Overall: 0.31066988450158145
Target ID: ENSG00000197386 	 Disease ID: Orphanet_96333 	 Association_score Overall: 0.31060544633398507
Target ID: ENSG00000197386 	 Disease ID: Orphanet_183583 	 Association_score Overall: 0.31060544633398507
Target ID: ENSG00000197386 	 Disease ID: Orphanet_156237 	 Association_score Overall: 0.31060544633398507
Target ID: ENSG00000197386 	 Disease ID: MONDO_0024654 	 Association_score Overall: 0.31060544633398507
Target ID: ENSG00000197386 	 Disease ID: MONDO_0023369 	 Association_score Overall: 0.31060544633398507
Target ID: ENSG00000197386 	 Disease ID: MONDO_0018751 	 Association_score Overall: 0.31060544633398507
Target ID: ENSG00000197386 	 Disease ID: MONDO_0015475 	 Association_score Overall: 0.31060544633398507
Target ID: ENSG00000197386 	 Disease ID: Orphanet_289494 	 Association_score Overall: 0.310482385558403
Target ID: ENSG00000197386 	 Disease ID: EFO_1000631 	 Association_score Overall: 0.3103995078546233
Target ID: ENSG00000197386 	 Disease ID: Orphanet_207018 	 Association_score Overall: 0.30996717240926064
Target ID: ENSG00000197386 	 Disease ID: Orphanet_207015 	 Association_score Overall: 0.30996717240926064
Target ID: ENSG00000197386 	 Disease ID: Orphanet_88616 	 Association_score Overall: 0.30980714623330813
Target ID: ENSG00000197386 	 Disease ID: Orphanet_2076 	 Association_score Overall: 0.3097361271073963
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98671 	 Association_score Overall: 0.3097128352576216
Target ID: ENSG00000197386 	 Disease ID: EFO_0005741 	 Association_score Overall: 0.3093639335605855
Target ID: ENSG00000197386 	 Disease ID: MONDO_0001149 	 Association_score Overall: 0.30905225385487534
Target ID: ENSG00000197386 	 Disease ID: Orphanet_94145 	 Association_score Overall: 0.30885248505423757
Target ID: ENSG00000197386 	 Disease ID: MONDO_0000412 	 Association_score Overall: 0.30878830454144623
Target ID: ENSG00000197386 	 Disease ID: EFO_0010282 	 Association_score Overall: 0.30858956405895693
Target ID: ENSG00000197386 	 Disease ID: Orphanet_475 	 Association_score Overall: 0.30845270936004027
Target ID: ENSG00000197386 	 Disease ID: MONDO_0020130 	 Association_score Overall: 0.30845270936004027
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98666 	 Association_score Overall: 0.30782082452129
Target ID: ENSG00000197386 	 Disease ID: Orphanet_98664 	 Association_score Overall: 0.30782082452129
Target ID: ENSG00000197386 	 Disease ID: EFO_0003086 	 Association_score Overall: 0.30780700501700675
Target ID: ENSG00000197386 	 Disease ID: Orphanet_53739 	 Association_score Overall: 0.30751384156903494
Target ID: ENSG00000197386 	 Disease ID: Orphanet_206713 	 Association_score Overall: 0.30751384156903494
Target ID: ENSG00000197386 	 Disease ID: Orphanet_140465 	 Association_score Overall: 0.30751384156903494
Target ID: ENSG00000197386 	 Disease ID: EFO_0005917 	 Association_score Overall: 0.30727975632716054
Target ID: ENSG00000197386 	 Disease ID: Orphanet_206656 	 Association_score Overall: 0.30689835850340136
Target ID: ENSG00000197386 	 Disease ID: Orphanet_269567 	 Association_score Overall: 0.30646801261967743
Target ID: ENSG00000197386 	 Disease ID: EFO_0000540 	 Association_score Overall: 0.30618035600700605
Target ID: ENSG00000197386 	 Disease ID: OTAR_0000010 	 Association_score Overall: 0.3058790955321285
Target ID: ENSG00000197386 	 Disease ID: Orphanet_79169 	 Association_score Overall: 0.3056884221686823
