
 Association for Disease, Query With Disease ID: Orphanet_399 

Target ID: ENSG00000197386 	 Disease ID: Orphanet_399 	 Association_score Overall: 1.0
Target ID: ENSG00000136546 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.7
Target ID: ENSG00000136531 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.7
Target ID: ENSG00000007314 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.7
Target ID: ENSG00000171243 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.665105402469635
Target ID: ENSG00000113318 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.4252657465034061
Target ID: ENSG00000131095 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.30174677482993195
Target ID: ENSG00000112541 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2905141251072861
Target ID: ENSG00000112294 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.28809999999999997
Target ID: ENSG00000144535 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2847222222222222
Target ID: ENSG00000185359 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.28313541666666664
Target ID: ENSG00000171867 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2757194444444444
Target ID: ENSG00000136827 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2728694444444444
Target ID: ENSG00000164258 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2724194444444444
Target ID: ENSG00000167371 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2717104166666667
Target ID: ENSG00000165704 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2717104166666667
Target ID: ENSG00000104044 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2717104166666667
Target ID: ENSG00000070961 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2717104166666667
Target ID: ENSG00000198689 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2711694444444444
Target ID: ENSG00000143952 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2711694444444444
Target ID: ENSG00000123560 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2711694444444444
Target ID: ENSG00000074181 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2711694444444444
Target ID: ENSG00000115317 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25955833333333334
Target ID: ENSG00000116288 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2578472222222222
Target ID: ENSG00000174437 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2562
Target ID: ENSG00000117984 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2548388888888889
Target ID: ENSG00000114062 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2529
Target ID: ENSG00000109819 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25206002805979855
Target ID: ENSG00000148053 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2500557669213759
Target ID: ENSG00000266074 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000247077 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000198862 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000197283 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000196517 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000180176 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000173175 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000162928 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000160789 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000157045 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000137869 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000136381 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000133958 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000128573 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000126778 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000119686 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000116096 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000110172 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000105552 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000074047 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000066629 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000049860 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000049768 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.25
Target ID: ENSG00000142192 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.24778670165658853
Target ID: ENSG00000136244 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.24722761111111108
Target ID: ENSG00000165280 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.24715138888888888
Target ID: ENSG00000214960 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2446218878030777
Target ID: ENSG00000169359 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.24332499999999999
Target ID: ENSG00000197969 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.24174999999999996
Target ID: ENSG00000131238 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.24117500000000003
Target ID: ENSG00000258388 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000256269 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000221988 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000197102 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000182606 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000177807 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000172493 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000152208 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000137474 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000132437 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000108381 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000074771 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000064218 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000053918 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23857500000000004
Target ID: ENSG00000284862 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000269897 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000223802 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000205476 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000198836 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000188603 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000187566 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000185722 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000182372 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000174705 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000174576 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000174080 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000173786 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000173208 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000170266 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000168283 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000166311 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000166086 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000162337 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000159363 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000158859 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000155252 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000153094 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000152583 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000152582 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000151914 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000145191 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000143815 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000142186 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000141385 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000137055 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000136738 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000134183 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000130283 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000117632 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000109572 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000108231 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000107959 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000105866 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000103994 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000103043 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000101210 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000101152 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000100311 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000100146 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000092330 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000088682 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000071575 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000068383 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000054983 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000040933 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000018236 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000015475 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000002330 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.23809999999999998
Target ID: ENSG00000118432 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2144683553222749
Target ID: ENSG00000082701 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.21426742120181408
Target ID: ENSG00000168959 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.21349705306726305
Target ID: ENSG00000186951 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2046288888888889
Target ID: ENSG00000105723 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.201
Target ID: ENSG00000166148 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2
Target ID: ENSG00000142319 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2
Target ID: ENSG00000133731 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2
Target ID: ENSG00000112062 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2
Target ID: ENSG00000103546 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.2
Target ID: ENSG00000128271 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.134325
Target ID: ENSG00000228716 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.11768579350709915
Target ID: ENSG00000108576 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.1
Target ID: ENSG00000097007 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.1
Target ID: ENSG00000012504 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.1
Target ID: ENSG00000104327 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.08395843829375815
Target ID: ENSG00000157005 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.08154240903627663
Target ID: ENSG00000176697 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.07707966423109901
Target ID: ENSG00000163673 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.07680000000000001
Target ID: ENSG00000205858 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.06918444484472275
Target ID: ENSG00000072315 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.06716666666666665
Target ID: ENSG00000133216 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.06637893310657597
Target ID: ENSG00000111640 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0659700324659205
Target ID: ENSG00000259384 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.063228013240361
Target ID: ENSG00000189127 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.062461622059345245
Target ID: ENSG00000242689 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.061819628448191236
Target ID: ENSG00000172179 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.06132986097548436
Target ID: ENSG00000159200 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.060899999999999996
Target ID: ENSG00000135821 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.057627777777777785
Target ID: ENSG00000147133 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.056799999999999996
Target ID: ENSG00000137752 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.05500766666666667
Target ID: ENSG00000164305 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.05241956290850507
Target ID: ENSG00000132170 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.05237297841285154
Target ID: ENSG00000017427 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.05042155555555555
Target ID: ENSG00000153914 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0504
Target ID: ENSG00000122585 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.05018133333333333
Target ID: ENSG00000036530 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0472
Target ID: ENSG00000118217 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04703055555555556
Target ID: ENSG00000147571 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.046900000000000004
Target ID: ENSG00000134259 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0466158936731058
Target ID: ENSG00000130203 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.046196694409566724
Target ID: ENSG00000112592 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04578491773746536
Target ID: ENSG00000198959 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.045707484130614345
Target ID: ENSG00000147894 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.045687349836230795
Target ID: ENSG00000185652 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.045384476966115514
Target ID: ENSG00000131771 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04468080666851988
Target ID: ENSG00000145920 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0446028888888889
Target ID: ENSG00000126458 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0444
Target ID: ENSG00000087085 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.044295868150688505
Target ID: ENSG00000168036 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04415777777777779
Target ID: ENSG00000161610 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.043985467120181414
Target ID: ENSG00000198793 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04379680342830612
Target ID: ENSG00000123240 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04322963038548752
Target ID: ENSG00000084093 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.043110747669438156
Target ID: ENSG00000154118 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.043028967120181415
Target ID: ENSG00000162946 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.043000000000000003
Target ID: ENSG00000120948 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04298726558568677
Target ID: ENSG00000100292 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04259999999999999
Target ID: ENSG00000117009 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04241545691609978
Target ID: ENSG00000116044 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04223544444444445
Target ID: ENSG00000112033 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04196666666666667
Target ID: ENSG00000242028 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04147933333333335
Target ID: ENSG00000186908 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04144708377425043
Target ID: ENSG00000094631 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.041200444444444435
Target ID: ENSG00000188822 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04104769394053918
Target ID: ENSG00000187094 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04096024489795919
Target ID: ENSG00000183044 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04063355555555556
Target ID: ENSG00000111676 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.040579016502897455
Target ID: ENSG00000095970 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04050000000000001
Target ID: ENSG00000138794 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04044841184355965
Target ID: ENSG00000126775 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.04000000000000001
Target ID: ENSG00000141510 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03982255555555556
Target ID: ENSG00000159640 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03975488888888889
Target ID: ENSG00000096717 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03947247757670851
Target ID: ENSG00000066427 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03947102884857647
Target ID: ENSG00000197548 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.039400000000000004
Target ID: ENSG00000102882 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0393
Target ID: ENSG00000149311 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03923544444444444
Target ID: ENSG00000168621 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03907114149506898
Target ID: ENSG00000114026 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03901944444444445
Target ID: ENSG00000068903 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03883855334475857
Target ID: ENSG00000150995 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.038799999999999994
Target ID: ENSG00000185122 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.038539377738241454
Target ID: ENSG00000189221 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0382
Target ID: ENSG00000171720 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.038187078231292526
Target ID: ENSG00000164418 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03818066666666666
Target ID: ENSG00000025156 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.038000000000000006
Target ID: ENSG00000145335 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03792368050313536
Target ID: ENSG00000113749 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0376
Target ID: ENSG00000172115 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03757988888888889
Target ID: ENSG00000012048 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03755647329302092
Target ID: ENSG00000120129 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0373
Target ID: ENSG00000116761 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03715555555555556
Target ID: ENSG00000168209 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0371
Target ID: ENSG00000137845 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0369
Target ID: ENSG00000085563 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0368
Target ID: ENSG00000196419 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03665555555555556
Target ID: ENSG00000005339 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03654630045351474
Target ID: ENSG00000171119 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0365
Target ID: ENSG00000055332 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03649496598639457
Target ID: ENSG00000184845 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0364
Target ID: ENSG00000112759 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.036083333333333335
Target ID: ENSG00000188554 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03605555555555556
Target ID: ENSG00000169136 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.036
Target ID: ENSG00000078018 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.035800000000000005
Target ID: ENSG00000102678 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03570000000000001
Target ID: ENSG00000112561 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03555205328798186
Target ID: ENSG00000138685 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.035522222222222226
Target ID: ENSG00000189403 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03548288888888889
Target ID: ENSG00000277203 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03540000000000001
Target ID: ENSG00000277150 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03540000000000001
Target ID: ENSG00000274791 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03540000000000001
Target ID: ENSG00000204842 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03535555555555556
Target ID: ENSG00000177169 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03535
Target ID: ENSG00000174697 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03501111111111111
Target ID: ENSG00000087274 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.034761111111111104
Target ID: ENSG00000059804 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.034699999999999995
Target ID: ENSG00000183379 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.034633333333333335
Target ID: ENSG00000100985 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0346
Target ID: ENSG00000104365 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0344
Target ID: ENSG00000085382 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0344
Target ID: ENSG00000068024 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.034372999999999994
Target ID: ENSG00000089250 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03420222222222223
Target ID: ENSG00000173805 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03405498172560565
Target ID: ENSG00000089041 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.033698666666666675
Target ID: ENSG00000142082 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03360396598639455
Target ID: ENSG00000197442 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03347777777777778
Target ID: ENSG00000131467 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.033400000000000006
Target ID: ENSG00000116133 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0332
Target ID: ENSG00000093010 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.0332
Target ID: ENSG00000172137 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.033
Target ID: ENSG00000168610 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.032799999999999996
Target ID: ENSG00000167244 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.032799999999999996
Target ID: ENSG00000077092 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.032799999999999996
Target ID: ENSG00000131981 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03278333333333334
Target ID: ENSG00000101180 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.03270000000000001
Target ID: ENSG00000160145 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.032544444444444445
Target ID: ENSG00000180210 	 Disease ID: Orphanet_399 	 Association_score Overall: 0.032400000000000005
